epoch,train_loss,test_loss,test_mae,sigma_error_corr
1,0.9635212885008918,0.9109105467796326,0.7889137268066406,0.16434420981015285
2,0.8397710389561124,0.7626221179962158,0.7304784059524536,0.22560558951582513
3,0.6557284858491685,0.5775046348571777,0.6583715677261353,0.1967918980334462
4,0.4907192753420936,0.4152163863182068,0.5920574069023132,0.12335112361477865
5,0.2874486810631222,0.16565807163715363,0.5098446011543274,0.07775246579036225
6,-0.07985160929254359,-0.33784300088882446,0.3500128984451294,0.026435556828844974
7,-0.664061062865787,-0.8365931510925293,0.22403517365455627,-0.08447073641378089
8,-1.1647311978869967,-1.3564250469207764,0.20040889084339142,0.007553034623720733
9,-1.5900403923458524,-1.6427640914916992,0.18234840035438538,-0.08200789819180776
10,-1.8373754421869914,-1.7566707134246826,0.17305609583854675,-0.0893454141153308
11,-2.0978751712375217,-1.7127050161361694,0.16569334268569946,-0.09773073065712785
12,-2.237660566965739,-1.722976803779602,0.16077835857868195,-0.08561405105720366
13,-2.378280427720812,-1.932287335395813,0.1548559069633484,-0.08472524508539832
14,-2.4741184181637235,-1.9894068241119385,0.1542704850435257,-0.07359793459849481
15,-2.4936446878645153,-1.822242259979248,0.15333804488182068,-0.10677773684576139
16,-2.5563910802205405,-1.815110683441162,0.151583731174469,-0.09462224050889628
17,-2.574550363752577,-1.9486043453216553,0.15068139135837555,-0.09768787930340196
18,-2.6354482173919678,-1.8430384397506714,0.14751455187797546,-0.10777959966583042
19,-2.681811226738824,-1.9370237588882446,0.14577461779117584,-0.0910641409299356
20,-2.720155848397149,-2.1376144886016846,0.14605338871479034,-0.0691659711635807
21,-2.7250132030910916,-1.8943578004837036,0.14463791251182556,-0.08922989229116074
22,-2.792605903413561,-1.3585759401321411,0.14364118874073029,-0.11232690230127808
23,-2.8108622233072915,-1.6692066192626953,0.14302538335323334,-0.10162677691488621
24,-2.8687744405534534,-1.8676228523254395,0.14381957054138184,-0.08461977115662922
25,-2.8077329794565835,-1.83135986328125,0.141062393784523,-0.08929691922612171
26,-2.882796843846639,-1.959100604057312,0.14060360193252563,-0.08691029693132138
27,-2.8862237400478787,-2.107532262802124,0.13939867913722992,-0.08702607066693446
28,-2.9215589894188776,-1.8395681381225586,0.13931284844875336,-0.08608961948149244
29,-2.940974924299452,-1.9299532175064087,0.1387311816215515,-0.0846468061053808
30,-2.95359820789761,-2.0571448802948,0.13837918639183044,-0.07733732002876025
31,-2.96488528781467,-1.6286479234695435,0.13786287605762482,-0.09391501009578071
32,-2.9610959423912897,-1.8798261880874634,0.1365453451871872,-0.08988182777813851
33,-2.995282146665785,-1.8755836486816406,0.13684320449829102,-0.08466547954234846
34,-3.01803191502889,-2.031162738800049,0.1362627148628235,-0.08705777277370756
35,-3.0253713130950928,-1.5982115268707275,0.13533218204975128,-0.09715832316072211
36,-3.054056035147773,-1.7273175716400146,0.13536784052848816,-0.09329418220679904
37,-3.059846348232693,-2.050694227218628,0.1350054293870926,-0.08457284886115167
38,-3.070811774995592,-1.9632290601730347,0.13434600830078125,-0.0883791277279067
39,-3.0718617969089084,-1.79730224609375,0.1333375722169876,-0.091986020842808
40,-3.099245892630683,-2.1301982402801514,0.13293901085853577,-0.07572535439355124
41,-3.095798306994968,-2.136328935623169,0.13255524635314941,-0.07791069296796925
42,-3.101812071270413,-2.2196311950683594,0.13164816796779633,-0.07843470516873863
43,-3.124030272165934,-1.9460538625717163,0.13137555122375488,-0.0901603457491266
44,-3.158151282204522,-1.866506814956665,0.13118457794189453,-0.08998283785989229
45,-3.1382944583892822,-1.919602870941162,0.1306905895471573,-0.09190457360120366
46,-3.175937149259779,-2.049501419067383,0.1314980685710907,-0.06945354311000497
47,-3.1877452532450357,-2.2805941104888916,0.12991885840892792,-0.08096250697508335
48,-3.0169562763637967,-0.5020615458488464,0.13480304181575775,-0.10576947965356422
49,-2.753463241789076,-2.1918742656707764,0.13087306916713715,-0.07456691626633533
50,-2.980374018351237,-2.6356539726257324,0.1291072964668274,-0.055841059405898036
51,-3.0915326012505426,-2.3176450729370117,0.12970668077468872,-0.07660691669466915
52,-3.1263663503858776,-2.1331489086151123,0.12812396883964539,-0.10067302225987887
53,-3.1270773675706653,-2.4137589931488037,0.12593449652194977,-0.08252782679589717
54,-3.1353705988989935,-2.2662265300750732,0.1260901838541031,-0.08297723764081748
55,-3.203518893983629,-2.385249614715576,0.12399686872959137,-0.07646977675061407
56,-3.246822065777249,-2.2998709678649902,0.12461364269256592,-0.06440599956870854
57,-3.27023975054423,-1.923574686050415,0.12361013889312744,-0.09822035618256064
58,-3.332504484388563,-1.9904180765151978,0.12270841002464294,-0.1012073904443491
59,-3.272882064183553,-2.0856986045837402,0.12187265604734421,-0.0818263248514682
60,-3.339627848731147,-2.3695714473724365,0.12052276730537415,-0.07607779921182337
