trial,n_experts,hidden_dim,shared_dim,lr,weight_decay,balance_weight,smooth_weight,best_epoch,best_test_loss,final_mae,r2_T,r2_H,r2_My,r2_Q,time_s
0,6,128,128,0.0005,0.0001,0.0,0.01,1496,-6.596002578735352,0.03157131001353264,0.9998603463172913,0.9988115429878235,0.987688422203064,0.9998748898506165,2253.297003030777
7,8,128,128,0.0005,0.0001,0.0,0.0,876,-6.576711177825928,0.031527161598205566,0.9998564720153809,0.9988824129104614,0.9875356554985046,0.999862790107727,2700.3996329307556
5,8,256,128,0.001,0.0001,0.01,0.01,1479,-6.530078411102295,0.030891813337802887,0.999869704246521,0.998892605304718,0.988235354423523,0.9998758435249329,2144.007203578949
3,2,128,64,0.0005,0.0001,0.1,0.0,1102,-6.438867568969727,0.031813278794288635,0.9998562335968018,0.9988787770271301,0.9870061874389648,0.9998579621315002,1451.2305216789246
9,6,256,32,0.001,0.0001,0.1,0.0,1451,-6.417860507965088,0.03256317600607872,0.9998541474342346,0.9987832307815552,0.9865682721138,0.9998608827590942,2226.758271217346
6,2,128,128,0.001,0.001,0.0,0.01,1487,-6.1097283363342285,0.041702933609485626,0.9998046159744263,0.9980716705322266,0.976931095123291,0.9998282790184021,1751.0352370738983
1,4,256,64,0.001,0.001,0.01,0.01,1491,-6.059637069702148,0.04359208419919014,0.9997454285621643,0.9979745745658875,0.9729229211807251,0.9998257756233215,1941.624041557312
8,8,256,128,0.0005,0.001,0.0,0.01,1480,-5.998327255249023,0.04433590918779373,0.9997762441635132,0.9979332685470581,0.9721118211746216,0.9998224973678589,2680.2964425086975
4,8,128,64,0.0005,0.001,0.01,0.0,1483,-5.960264682769775,0.043355390429496765,0.9997598528862,0.9979835152626038,0.9751906991004944,0.999800443649292,2602.05619597435
2,4,64,32,0.0005,0.001,0.01,0.01,1460,-5.905956745147705,0.04511592909693718,0.9997547268867493,0.9980139136314392,0.9709513783454895,0.9998196363449097,2122.163762807846
