trial,hidden_dim,depth,lr,weight_decay,best_epoch,best_test_loss,final_mae,r2_T,r2_H,r2_My,r2_Q,time_s
11,256,2,0.0005,0.0001,418,-6.2723069190979,0.03316674754023552,0.9998165965080261,0.9979651570320129,0.9868925213813782,0.9997682571411133,650.2949855327606
8,64,3,0.0005,0.0001,573,-6.251511573791504,0.03298863768577576,0.9998016953468323,0.9983017444610596,0.9874743819236755,0.9997953772544861,562.6370539665222
10,512,4,0.001,0.0001,653,-6.212895393371582,0.03406595066189766,0.9998112320899963,0.9978576302528381,0.9861375689506531,0.9997654557228088,941.1639955043793
15,64,2,0.0005,0.0001,372,-6.137977600097656,0.035500362515449524,0.9997689723968506,0.9972683191299438,0.9849551916122437,0.9997310638427734,575.043422460556
6,64,4,0.001,0.0001,521,-6.130167484283447,0.03423067554831505,0.999797523021698,0.9978454113006592,0.9867470860481262,0.9997817277908325,716.4732491970062
0,64,5,0.0005,0.0001,299,-6.085392475128174,0.03523487225174904,0.9997797012329102,0.997442364692688,0.9853194952011108,0.9997474551200867,793.8296844959259
13,256,3,0.001,0.001,1266,-5.973480224609375,0.0398000068962574,0.9997758269309998,0.9977522492408752,0.9794874787330627,0.9997596144676208,763.2085514068604
9,256,4,0.0005,0.001,875,-5.950011253356934,0.03976784273982048,0.9997447729110718,0.997708261013031,0.9816241264343262,0.999785304069519,882.2150628566742
3,128,2,0.001,0.001,900,-5.933849334716797,0.04033961147069931,0.9997293949127197,0.9978306293487549,0.9767345190048218,0.9997376203536987,588.1674427986145
1,64,2,0.001,0.001,438,-5.9263153076171875,0.03819315880537033,0.9997063875198364,0.9977594017982483,0.9822021722793579,0.9997080564498901,500.7213525772095
12,64,3,0.001,0.001,673,-5.872811317443848,0.040694959461688995,0.9997021555900574,0.9975156188011169,0.978467583656311,0.9997166395187378,655.1041779518127
4,64,5,0.0005,0.001,1142,-5.8324456214904785,0.04328962415456772,0.9997388124465942,0.9975262880325317,0.9771925806999207,0.9997655153274536,785.4521594047546
7,512,5,0.001,0.001,968,-5.8080220222473145,0.04015412926673889,0.9997116327285767,0.9976294636726379,0.9808091521263123,0.9997223019599915,1056.8286020755768
14,128,4,0.0005,0.001,775,-5.760466575622559,0.042928945273160934,0.9997243285179138,0.9976654052734375,0.9765045046806335,0.9997636675834656,753.0478737354279
2,256,5,0.0005,0.001,690,-5.750770568847656,0.04265722632408142,0.9997063875198364,0.9977378845214844,0.9775389432907104,0.999763548374176,1004.7703602313995
5,512,5,0.0005,0.001,888,-5.7471466064453125,0.04126572608947754,0.9996870756149292,0.9975598454475403,0.980097770690918,0.9997555017471313,1184.5586483478546
