trial,n_experts,hidden_dim,shared_dim,lr,weight_decay,balance_weight,smooth_weight,best_epoch,best_test_loss,final_mae,r2_T,r2_H,r2_My,r2_Q,time_s
28,6,256,32,0.001,0.0001,0.01,0.01,620,-5.1243391036987305,0.04279801994562149,0.999515950679779,0.997005045413971,0.9511855840682983,0.9996262788772583,1145.2849855422974
13,2,128,128,0.001,0.001,0.3,0.01,109,-5.069195747375488,0.04685899242758751,0.9995172619819641,0.9969302415847778,0.9381570816040039,0.9993752241134644,828.2110304832458
15,4,128,64,0.001,0.001,0.1,0.0,313,-5.001290798187256,0.050781261175870895,0.999568521976471,0.9957740902900696,0.9289631843566895,0.9990600347518921,1009.351140499115
31,4,128,32,0.001,0.001,0.1,0.0,213,-4.793425559997559,0.05459686741232872,0.999320924282074,0.9964897632598877,0.9136857986450195,0.9991219639778137,1028.179592847824
18,2,64,64,0.0005,0.001,0.01,0.0,404,-4.713195323944092,0.04716983437538147,0.999528706073761,0.9966750741004944,0.9448015689849854,0.9994078874588013,886.6417529582977
7,8,128,64,0.001,0.0001,0.01,0.0,176,-4.624279975891113,0.04705998674035072,0.9988207221031189,0.9974666833877563,0.9204714894294739,0.9987799525260925,1196.838945388794
17,8,256,64,0.001,0.001,0.1,0.0,396,-4.57632303237915,0.04912128299474716,0.9993448257446289,0.996258020401001,0.9226306080818176,0.9993207454681396,1265.5418527126312
20,4,64,128,0.001,0.001,0.3,0.01,105,-4.47004508972168,0.054658036679029465,0.9993290305137634,0.9950602054595947,0.9047768115997314,0.9990322589874268,1036.176203250885
27,4,64,32,0.001,0.0001,0.1,0.0,96,-4.198544502258301,0.04622502252459526,0.9995026588439941,0.9973771572113037,0.9192721843719482,0.9993528127670288,1028.1807925701141
10,6,256,32,0.001,0.0001,0.01,0.0,41,-3.951277732849121,0.04885504022240639,0.9994570016860962,0.9964193105697632,0.9269554018974304,0.9992505311965942,1126.489266872406
9,8,256,32,0.0005,0.001,0.1,0.01,433,-3.862473487854004,0.08500754088163376,0.9988632202148438,0.9933499693870544,0.7931311130523682,0.9986070990562439,1226.8606896400452
2,4,256,32,0.0005,0.001,0.3,0.01,187,-3.7164905071258545,0.07428350299596786,0.9991419315338135,0.9952955842018127,0.8529959321022034,0.9990764260292053,1044.7285208702087
23,6,256,64,0.0005,0.001,0.01,0.01,128,-3.647022247314453,0.06179258972406387,0.9988605976104736,0.9956262707710266,0.9002230763435364,0.9990572333335876,1155.201239824295
22,4,128,32,0.0005,0.001,0.01,0.01,41,-3.3835766315460205,0.07541029900312424,0.9991799592971802,0.9954883456230164,0.846150279045105,0.9990609288215637,1111.2519736289978
21,6,128,128,0.0001,0.001,0.01,0.01,200,-3.336543083190918,0.09027276933193207,0.9966118335723877,0.9929178357124329,0.7903025150299072,0.9967010021209717,1176.858321428299
24,8,256,32,0.0005,0.001,0.01,0.0,27,-3.144361972808838,0.09265203028917313,0.998641312122345,0.9953089952468872,0.726274311542511,0.9982609152793884,1307.2622072696686
26,2,64,32,0.0005,0.0001,0.01,0.01,16,-2.6154375076293945,0.05572301149368286,0.9985368847846985,0.9952035546302795,0.9384761452674866,0.9977093935012817,895.1379451751709
1,2,64,64,0.0005,0.0001,0.1,0.01,13,-2.441962957382202,0.051210492849349976,0.9982696175575256,0.9964422583580017,0.9562076330184937,0.9978420734405518,914.1952500343323
14,4,128,32,0.0005,0.0001,0.1,0.01,5,-2.2452213764190674,0.05303573980927467,0.998972475528717,0.9957272410392761,0.9299541711807251,0.9987038969993591,994.7860691547394
25,4,256,32,0.0001,0.0001,0.3,0.01,11,-1.973636507987976,0.09009464830160141,0.9967376589775085,0.9898295402526855,0.8158990740776062,0.9961288571357727,1076.5663514137268
0,2,256,32,0.0005,0.0001,0.01,0.0,3,-1.9205739498138428,0.05487411469221115,0.9986963272094727,0.9948501586914062,0.9236041903495789,0.9980291724205017,921.6278309822083
4,4,128,32,0.0001,0.0001,0.01,0.01,17,-1.8630844354629517,0.09109431505203247,0.997107744216919,0.9940017461776733,0.8083968162536621,0.9968057870864868,1066.5246772766113
29,6,64,64,0.0005,0.0001,0.01,0.0,8,-1.587248682975769,0.05922958627343178,0.9964256286621094,0.9958919286727905,0.9450334310531616,0.9968231916427612,1164.7252416610718
5,2,256,64,0.0001,0.001,0.1,0.01,15,-1.5705233812332153,0.0923433005809784,0.9964085817337036,0.9952696561813354,0.7804660201072693,0.9969254732131958,909.0903327465057
8,2,128,64,0.0001,0.001,0.3,0.0,21,-1.5249007940292358,0.11125322431325912,0.9966517686843872,0.9908336400985718,0.7150831818580627,0.9965782761573792,890.784826040268
3,4,128,64,0.0001,0.001,0.1,0.01,16,-1.4279552698135376,0.12519413232803345,0.9943394660949707,0.9882932305335999,0.6500781774520874,0.9946748614311218,1002.8431248664856
12,2,64,64,0.0001,0.0001,0.01,0.01,25,-1.3735246658325195,0.09205202013254166,0.9962927103042603,0.9952714443206787,0.8183684349060059,0.9955382347106934,867.0833187103271
19,8,128,64,0.0001,0.001,0.1,0.01,20,-1.368975281715393,0.12958787381649017,0.9925115704536438,0.9883009195327759,0.6177016496658325,0.9931640028953552,1235.0487129688263
11,2,64,64,0.0001,0.0001,0.3,0.01,18,-1.2452210187911987,0.09570713341236115,0.9962400197982788,0.995361328125,0.7879183888435364,0.9959318041801453,818.9018321037292
30,2,256,128,0.0001,0.001,0.01,0.0,11,-1.2036534547805786,0.09620968997478485,0.9984803199768066,0.99253910779953,0.7391684055328369,0.9984207153320312,870.8306567668915
16,8,64,64,0.0001,0.0001,0.1,0.0,10,-0.6183879971504211,0.11838723719120026,0.9913429021835327,0.9917177557945251,0.6973469853401184,0.9939193725585938,1191.6597352027893
6,2,128,128,0.0001,0.0001,0.3,0.01,5,-0.5101132988929749,0.061488453298807144,0.9981927871704102,0.9958064556121826,0.9237858653068542,0.998149037361145,846.8538300991058
