trial,n_experts,hidden_dim,shared_dim,lr,weight_decay,balance_weight,smooth_weight,best_epoch,best_test_loss,final_mae,r2_T,r2_H,r2_My,r2_Q,time_s
4,4,64,128,0.0005,0.0001,0.1,0.01,524,-8.787299156188965,0.0339350663125515,0.9998008608818054,0.9980108737945557,0.9864717721939087,0.9997891187667847,2019.4392557144165
15,6,64,32,0.001,0.0001,0.0,0.0,544,-8.664107322692871,0.03493678197264671,0.9998078346252441,0.9977656006813049,0.9857038259506226,0.9997907876968384,2705.4094381332397
2,2,64,64,0.001,0.0001,0.0,0.01,441,-8.640219688415527,0.03474152833223343,0.999799370765686,0.9980072975158691,0.9856332540512085,0.9997764229774475,1367.53671002388
14,6,256,64,0.001,0.0001,0.1,0.0,502,-8.612693786621094,0.034342389553785324,0.999783456325531,0.9979428648948669,0.9858983159065247,0.9997421503067017,4272.7202072143555
13,2,128,32,0.0005,0.0001,0.1,0.01,454,-8.56750774383545,0.03651761636137962,0.9997687339782715,0.9979332685470581,0.983356237411499,0.9997448325157166,1975.4405779838562
6,4,64,32,0.0005,0.0001,0.0,0.0,676,-8.28927993774414,0.03756024315953255,0.9997256398200989,0.9973484873771667,0.9831442832946777,0.9996955990791321,1855.9521887302399
11,8,128,64,0.0005,0.0001,0.01,0.0,468,-8.244080543518066,0.040052905678749084,0.9995332360267639,0.9973440170288086,0.9856998920440674,0.9995625615119934,4239.255656719208
3,8,128,64,0.0005,0.0001,0.01,0.01,468,-8.244080543518066,0.040052905678749084,0.9995332360267639,0.9973440170288086,0.9856998920440674,0.9995625615119934,3338.252033472061
9,2,128,64,0.001,0.001,0.01,0.0,1106,-8.026673316955566,0.059017375111579895,0.997895359992981,0.9959365725517273,0.9758394360542297,0.9979923963546753,1337.7581067085266
12,6,128,128,0.001,0.001,0.0,0.0,1383,-7.851128101348877,0.08243835717439651,0.9964768886566162,0.9929123520851135,0.9608465433120728,0.9962841272354126,3502.9630296230316
5,4,64,64,0.001,0.001,0.1,0.0,1488,-7.80851936340332,0.08524958044290543,0.9963321089744568,0.9923945665359497,0.9580716490745544,0.9963328838348389,1848.6114218235016
7,2,128,128,0.0005,0.001,0.1,0.0,659,-7.574228763580322,0.08035465329885483,0.9976661205291748,0.9914896488189697,0.9586844444274902,0.9976152181625366,1331.2069838047028
0,8,64,32,0.001,0.001,0.0,0.0,1381,-7.035971641540527,0.18106314539909363,0.9671639800071716,0.9248071908950806,0.9421692490577698,0.9700082540512085,3046.339084625244
10,8,64,64,0.0005,0.001,0.01,0.0,1459,-6.942920207977295,0.09806162118911743,0.9969395399093628,0.9910251498222351,0.9199891090393066,0.9970414042472839,3044.288021802902
1,2,128,64,0.0005,0.001,0.0,0.0,1115,-6.810978889465332,0.08997286856174469,0.9994171261787415,0.9868760108947754,0.930355429649353,0.9995023608207703,1227.6829552650452
8,8,128,64,0.001,0.001,0.1,0.0,1407,-6.279559135437012,0.24722401797771454,0.9032785296440125,0.9133061170578003,0.9105211496353149,0.9050389528274536,2988.299036026001
