trial,hidden_dim,depth,dropout,lr,weight_decay,best_epoch,best_test_loss,final_mae,r2_T,r2_H,r2_My,r2_Q,time_s
10,512,4,0.0,0.001,0.0001,576,-6.308748245239258,0.03363235667347908,0.9998341202735901,0.9979868531227112,0.9867880940437317,0.9997615814208984,1146.0216133594513
11,256,2,0.0,0.0005,0.0001,449,-6.287566184997559,0.03342527523636818,0.9998186826705933,0.9980029463768005,0.9868437647819519,0.9997904300689697,598.2618110179901
6,64,4,0.0,0.001,0.0001,620,-6.261085510253906,0.03424572944641113,0.9997876286506653,0.9979223608970642,0.9855182766914368,0.9997501969337463,721.0422911643982
0,64,5,0.0,0.0005,0.0001,754,-6.226673126220703,0.03540341928601265,0.9998137950897217,0.9977624416351318,0.9841052889823914,0.9997961521148682,894.5419011116028
15,64,2,0.0,0.0005,0.0001,641,-6.221390247344971,0.03518148884177208,0.9997986555099487,0.9973810911178589,0.9842174649238586,0.9997861981391907,512.053946018219
8,64,3,0.0,0.0005,0.0001,817,-6.209829330444336,0.03428775817155838,0.999792218208313,0.9978303909301758,0.9854998588562012,0.9997809529304504,645.7299015522003
3,128,2,0.0,0.001,0.001,1371,-6.047138214111328,0.042603351175785065,0.9997566342353821,0.9980332255363464,0.9723765254020691,0.999761700630188,594.0770490169525
1,64,2,0.0,0.001,0.001,1476,-6.0295820236206055,0.04039148986339569,0.9997392892837524,0.9980853796005249,0.9785389304161072,0.9997456073760986,571.9540162086487
13,256,3,0.0,0.001,0.001,1460,-5.990036964416504,0.04203261435031891,0.9996839165687561,0.9980809688568115,0.9765699505805969,0.9997880458831787,706.0147478580475
12,64,3,0.0,0.001,0.001,1365,-5.917331218719482,0.0442337691783905,0.9996823668479919,0.9981003999710083,0.9721036553382874,0.9997342228889465,585.6733500957489
9,256,4,0.0,0.0005,0.001,1488,-5.833220481872559,0.04631606861948967,0.9996715784072876,0.9980282187461853,0.9694595336914062,0.999756932258606,879.1356258392334
5,512,5,0.0,0.0005,0.001,1500,-5.823152542114258,0.04690640792250633,0.9996312856674194,0.997940719127655,0.9702743887901306,0.999774158000946,1309.0296003818512
7,512,5,0.0,0.001,0.001,1463,-5.802549362182617,0.04613390564918518,0.9995273947715759,0.9977839589118958,0.9712432622909546,0.9996969103813171,1305.664962530136
14,128,4,0.0,0.0005,0.001,1375,-5.492495059967041,0.07662969082593918,0.9996631145477295,0.9979750514030457,0.8993899822235107,0.999755322933197,686.8050005435944
2,256,5,0.0,0.0005,0.001,1495,-5.441980838775635,0.07340867817401886,0.999671220779419,0.9976460933685303,0.9156135320663452,0.9997503161430359,1024.735193014145
4,64,5,0.0,0.0005,0.001,1483,-5.047654628753662,0.16758258640766144,0.9996802806854248,0.99799644947052,0.3762262463569641,0.9997573494911194,800.2486107349396
