rank,hidden_dims,depth,width,lr,weight_decay,dropout,params,best_epoch,total_epochs,n_train,n_test,test_mse,test_rmse,test_mae,test_r2,train_mse,train_r2,overfit_gap,time_sec,Fx_R2,Fx_MAE,Fx_RMSE,Fx_MAPE%,Fy_R2,Fy_MAE,Fy_RMSE,Fy_MAPE%,Fz_R2,Fz_MAE,Fz_RMSE,Fz_MAPE%,Torque_R2,Torque_MAE,Torque_RMSE,Torque_MAPE%
1,"[64, 128, 64]",3,128,0.001000,0.001000,0.000000,20420,1097,1398,5760,1440,0.011228,0.105962,0.058054,0.988037,0.005605,0.994395,0.006358,721.100000,0.998727,0.026817,0.035314,10.649805,0.956529,0.145676,0.201291,96.865669,0.997883,0.036001,0.046821,20.816015,0.999011,0.023723,0.030885,43.034592
2,"[256, 512, 256]",3,512,0.001000,0.000010,0.000000,278276,451,752,5760,1440,0.011334,0.106461,0.056692,0.987913,0.002178,0.997822,0.009909,444.500000,0.999115,0.023062,0.029446,8.980931,0.955398,0.146154,0.203892,127.926788,0.998070,0.034125,0.044706,19.516642,0.999069,0.023426,0.029967,30.324503
3,"[256, 512, 256]",3,512,0.000500,0.001000,0.200000,278276,1145,1446,5760,1440,0.011367,0.106614,0.058370,0.987892,0.004827,0.995173,0.007281,754.100000,0.998919,0.024971,0.032534,10.928422,0.956028,0.146785,0.202447,103.826462,0.997707,0.036804,0.048729,22.967182,0.998913,0.024920,0.032376,66.541382
4,"[64, 128, 64]",3,128,0.000100,0.001000,0.000000,20420,849,1150,5760,1440,0.011423,0.106877,0.060157,0.987835,0.004562,0.995438,0.007603,609.700000,0.998487,0.030354,0.038498,12.670766,0.956334,0.145412,0.201741,98.981659,0.997868,0.037142,0.046979,17.523333,0.998649,0.027719,0.036085,26.343077
5,"[256, 512, 256]",3,512,0.000100,0.001000,0.200000,278276,780,1081,5760,1440,0.011425,0.106886,0.057446,0.987819,0.002614,0.997386,0.009566,589.900000,0.999011,0.024659,0.031123,8.756215,0.955204,0.145930,0.204336,100.298286,0.997977,0.035435,0.045764,20.891298,0.999085,0.023760,0.029706,65.982460
6,"[64, 128, 64]",3,128,0.005000,0.000000,0.000000,20420,728,1029,5760,1440,0.011431,0.106914,0.057115,0.987808,0.002930,0.997070,0.009262,499.100000,0.998939,0.025515,0.032246,12.872954,0.955071,0.145716,0.204637,88.776093,0.998211,0.033098,0.043041,18.906576,0.999011,0.024131,0.030880,28.171696
7,"[64, 128, 64]",3,128,0.000500,0.001000,0.000000,20420,807,1108,5760,1440,0.011440,0.106958,0.057612,0.987800,0.003945,0.996055,0.008255,560.700000,0.998965,0.025617,0.031845,10.009962,0.955115,0.145533,0.204539,113.596222,0.998129,0.034061,0.044013,19.223692,0.998991,0.025237,0.031192,64.564507
8,"[256, 512, 256]",3,512,0.000100,0.001000,0.100000,278276,739,1040,5760,1440,0.011455,0.107029,0.056052,0.987778,0.002287,0.997713,0.009935,563.100000,0.999174,0.022378,0.028448,8.599411,0.954606,0.146444,0.205694,97.413887,0.998194,0.032993,0.043245,19.451284,0.999137,0.022395,0.028838,63.507824
9,"[128, 256, 512, 256]",4,512,0.001000,0.001000,0.100000,305412,1392,1693,5760,1440,0.011472,0.107107,0.057429,0.987770,0.004758,0.995242,0.007473,1047.500000,0.998886,0.025324,0.033036,10.177467,0.955234,0.144992,0.204266,93.619133,0.998032,0.033862,0.045138,20.647005,0.998927,0.025537,0.032162,71.457817
10,"[64, 128, 64]",3,128,0.000500,0.000000,0.000000,20420,870,1171,5760,1440,0.011489,0.107188,0.060123,0.987765,0.003319,0.996681,0.008916,609.700000,0.998716,0.027639,0.035462,11.921056,0.955937,0.146833,0.202655,116.070335,0.997677,0.038166,0.049046,21.438568,0.998730,0.027854,0.034994,20.567350
11,"[128, 256, 512, 256]",4,512,0.000500,0.001000,0.200000,305412,1228,1529,5760,1440,0.011513,0.107298,0.061199,0.987744,0.004551,0.995449,0.007705,948.200000,0.998326,0.032588,0.040492,13.907181,0.956429,0.144852,0.201522,141.952911,0.997775,0.036311,0.047993,23.572792,0.998447,0.031048,0.038698,85.986526
