trial_id,hidden_dims,output,MSE,RMSE,MAE,R2,MaxAbsErr,MeanRelErr%,P95RelErr%,P99RelErr%,MeanBias,StdErr
21,"[64, 128, 64]",Fx,0.001247,0.035314,0.026817,0.998727,0.171072,10.649805,30.159199,137.175836,-0.004590,0.035014
21,"[64, 128, 64]",Fy,0.040518,0.201291,0.145676,0.956529,1.295469,96.865669,232.068268,1151.023220,-0.012439,0.200907
21,"[64, 128, 64]",Fz,0.002192,0.046821,0.036001,0.997883,0.249343,20.816015,66.605190,210.133035,-0.005724,0.046470
21,"[64, 128, 64]",Torque,0.000954,0.030885,0.023723,0.999011,0.127753,43.034592,31.550296,182.970273,0.000001,0.030885
111,"[256, 512, 256]",Fx,0.000867,0.029446,0.023062,0.999115,0.136374,8.980931,20.502459,90.679686,-0.000426,0.029443
111,"[256, 512, 256]",Fy,0.041572,0.203892,0.146154,0.955398,1.213055,127.926788,221.153337,1395.640850,-0.000298,0.203892
111,"[256, 512, 256]",Fz,0.001999,0.044706,0.034125,0.998070,0.188981,19.516642,58.585942,333.253714,-0.003709,0.044552
111,"[256, 512, 256]",Torque,0.000898,0.029967,0.023426,0.999069,0.135827,30.324503,27.728371,139.581977,0.001857,0.029910
131,"[256, 512, 256]",Fx,0.001058,0.032534,0.024971,0.998919,0.138240,10.928422,32.336453,132.875290,-0.001728,0.032488
131,"[256, 512, 256]",Fy,0.040985,0.202447,0.146785,0.956028,1.205427,103.826462,239.777061,1135.911533,-0.000370,0.202447
131,"[256, 512, 256]",Fz,0.002375,0.048729,0.036804,0.997707,0.237164,22.967182,66.202272,248.475412,-0.008694,0.047947
131,"[256, 512, 256]",Torque,0.001048,0.032376,0.024920,0.998913,0.157265,66.541382,43.215058,167.678439,-0.008364,0.031278
45,"[64, 128, 64]",Fx,0.001482,0.038498,0.030354,0.998487,0.198488,12.670766,29.372540,161.676882,0.001442,0.038471
45,"[64, 128, 64]",Fy,0.040700,0.201741,0.145412,0.956334,1.248127,98.981659,212.824828,1426.854003,0.002616,0.201724
45,"[64, 128, 64]",Fz,0.002207,0.046979,0.037142,0.997868,0.212692,17.523333,73.871849,258.731192,0.006184,0.046570
45,"[64, 128, 64]",Torque,0.001302,0.036085,0.027719,0.998649,0.169299,26.343077,36.075708,219.300200,-0.003872,0.035877
143,"[256, 512, 256]",Fx,0.000969,0.031123,0.024659,0.999011,0.146594,8.756215,33.200954,122.442339,0.009097,0.029764
143,"[256, 512, 256]",Fy,0.041753,0.204336,0.145930,0.955204,1.233505,100.298286,228.909595,1260.205704,0.008780,0.204147
143,"[256, 512, 256]",Fz,0.002094,0.045764,0.035435,0.997977,0.240785,20.891298,60.554723,284.884211,0.006624,0.045282
143,"[256, 512, 256]",Torque,0.000882,0.029706,0.023760,0.999085,0.123405,65.982460,35.111397,202.469678,0.009558,0.028126
0,"[64, 128, 64]",Fx,0.001040,0.032246,0.025515,0.998939,0.145267,12.872954,34.796707,175.509483,0.002758,0.032128
0,"[64, 128, 64]",Fy,0.041876,0.204637,0.145716,0.955071,1.316941,88.776093,197.667273,1171.038065,-0.016549,0.203967
0,"[64, 128, 64]",Fz,0.001853,0.043041,0.033098,0.998211,0.241770,18.906576,60.670583,281.234838,-0.000153,0.043041
0,"[64, 128, 64]",Torque,0.000954,0.030880,0.024131,0.999011,0.139205,28.171696,33.821761,166.044004,0.002367,0.030789
33,"[64, 128, 64]",Fx,0.001014,0.031845,0.025617,0.998965,0.119464,10.009962,27.332057,123.057491,0.004982,0.031453
