epoch,train_mse,test_mse,train_r2,test_r2,lr
0,0.09040052,0.09029611,0.90959948,0.90497911,0.00100000
1,0.06377664,0.06737564,0.93622333,0.92886013,0.00100000
2,0.04990135,0.05382072,0.95009863,0.94325984,0.00100000
3,0.04242636,0.04576766,0.95757365,0.95173258,0.00100000
4,0.03713733,0.04111496,0.96286261,0.95673174,0.00100000
5,0.02988283,0.03286542,0.97011715,0.96536219,0.00100000
6,0.02703555,0.02986643,0.97296441,0.96848553,0.00100000
7,0.02462818,0.02726900,0.97537184,0.97125351,0.00100000
8,0.02714579,0.03123841,0.97285414,0.96710742,0.00100000
9,0.02179108,0.02496850,0.97820890,0.97371149,0.00100000
10,0.02200288,0.02452337,0.97799712,0.97407043,0.00100000
11,0.02207395,0.02552695,0.97792602,0.97294921,0.00100000
12,0.02229602,0.02445158,0.97770393,0.97427803,0.00100000
13,0.03046599,0.03326070,0.96953398,0.96497154,0.00100000
14,0.02519932,0.02754896,0.97480065,0.97103930,0.00100000
15,0.02202658,0.02442719,0.97797340,0.97414583,0.00100000
16,0.02455557,0.02707508,0.97544438,0.97155797,0.00100000
17,0.02036554,0.02327556,0.97963446,0.97540766,0.00100000
18,0.01865979,0.02144399,0.98134017,0.97736573,0.00100000
19,0.01886434,0.02107948,0.98113567,0.97768825,0.00100000
20,0.02208153,0.02407756,0.97791845,0.97460771,0.00100000
21,0.01960231,0.02241790,0.98039770,0.97630900,0.00100000
22,0.02191627,0.02423100,0.97808367,0.97444928,0.00100000
23,0.02629776,0.02962614,0.97370225,0.96867299,0.00100000
24,0.01621134,0.01907598,0.98378867,0.97991306,0.00100000
25,0.01889258,0.02266037,0.98110741,0.97598666,0.00100000
26,0.01827641,0.02097572,0.98172361,0.97797281,0.00100000
27,0.02147570,0.02381645,0.97852433,0.97491461,0.00100000
28,0.02308338,0.02589688,0.97691667,0.97276318,0.00100000
29,0.01672999,0.01928541,0.98326999,0.97963351,0.00100000
30,0.01680017,0.01985130,0.98319983,0.97898316,0.00100000
31,0.02107929,0.02428377,0.97892070,0.97451884,0.00100000
32,0.01599012,0.01820484,0.98400992,0.98075867,0.00100000
33,0.01868774,0.02113773,0.98131227,0.97775614,0.00100000
34,0.01669683,0.01916191,0.98330313,0.97979224,0.00100000
35,0.01670679,0.01940928,0.98329318,0.97945374,0.00100000
36,0.01694174,0.01949759,0.98305827,0.97942710,0.00100000
37,0.02564606,0.02872374,0.97435397,0.96964955,0.00100000
38,0.01706139,0.02030761,0.98293865,0.97853369,0.00100000
39,0.01970589,0.02193422,0.98029411,0.97678578,0.00100000
40,0.02242997,0.02618188,0.97757000,0.97248304,0.00100000
41,0.01853392,0.02106655,0.98146611,0.97763395,0.00100000
42,0.01800178,0.02045599,0.98199821,0.97839856,0.00100000
43,0.01569579,0.01950585,0.98430419,0.97933006,0.00100000
44,0.01894812,0.02151965,0.98105192,0.97718793,0.00100000
45,0.01601531,0.01913976,0.98398465,0.97980708,0.00100000
46,0.01909199,0.02161861,0.98090798,0.97713470,0.00100000
47,0.01739447,0.02040843,0.98260552,0.97840911,0.00100000
48,0.01625425,0.01930502,0.98374575,0.97961545,0.00100000
49,0.01459695,0.01749802,0.98540300,0.98150623,0.00100000
50,0.01712528,0.01962434,0.98287475,0.97939444,0.00100000
51,0.01649931,0.01906820,0.98350072,0.97982877,0.00100000
52,0.01570374,0.01824204,0.98429620,0.98070616,0.00100000
53,0.01578735,0.01863715,0.98421264,0.98038244,0.00100000
